County,Facility_Identifier,Population,Scrape_Date,State,Change
Chambers,AL_Chambers,130,2020-03-06,AL,-0.015151515151515138
Chambers,AL_Chambers,134,2020-03-07,AL,0.030769230769230663
Chambers,AL_Chambers,133,2020-03-08,AL,-0.0074626865671642015
Chambers,AL_Chambers,135,2020-03-09,AL,0.015037593984962516
Chambers,AL_Chambers,134,2020-03-10,AL,-0.007407407407407419
Chambers,AL_Chambers,135,2020-03-11,AL,0.0074626865671640905
Chambers,AL_Chambers,134,2020-03-12,AL,-0.007407407407407419
Chambers,AL_Chambers,135,2020-03-13,AL,0.0074626865671640905
Chambers,AL_Chambers,142,2020-03-15,AL,0.051851851851851816
Chambers,AL_Chambers,143,2020-03-16,AL,0.007042253521126751
Chambers,AL_Chambers,143,2020-03-17,AL,0.0
Chambers,AL_Chambers,131,2020-03-18,AL,-0.08391608391608396
Chambers,AL_Chambers,124,2020-03-19,AL,-0.05343511450381677
Chambers,AL_Chambers,121,2020-03-20,AL,-0.024193548387096756
Chambers,AL_Chambers,121,2020-03-21,AL,0.0
Chambers,AL_Chambers,119,2020-03-22,AL,-0.016528925619834656
Chambers,AL_Chambers,121,2020-03-23,AL,0.016806722689075567
Chambers,AL_Chambers,118,2020-03-24,AL,-0.02479338842975209
Chambers,AL_Chambers,117,2020-03-25,AL,-0.008474576271186418
Chambers,AL_Chambers,115,2020-03-26,AL,-0.017094017094017144
Chambers,AL_Chambers,112,2020-03-27,AL,-0.02608695652173909
Chambers,AL_Chambers,109,2020-03-28,AL,-0.0267857142857143
Chambers,AL_Chambers,111,2020-03-29,AL,0.0183486238532109
Chambers,AL_Chambers,109,2020-03-30,AL,-0.018018018018018056
Cherokee,AL_Cherokee,122,2020-01-01,AL,
Cherokee,AL_Cherokee,124,2020-01-02,AL,0.016393442622950838
Cherokee,AL_Cherokee,121,2020-01-03,AL,-0.024193548387096756
Cherokee,AL_Cherokee,122,2020-01-04,AL,0.008264462809917328
Cherokee,AL_Cherokee,123,2020-01-05,AL,0.008196721311475308
Cherokee,AL_Cherokee,125,2020-01-06,AL,0.016260162601626105
Cherokee,AL_Cherokee,122,2020-01-07,AL,-0.024000000000000018
Cherokee,AL_Cherokee,125,2020-01-08,AL,0.024590163934426142
Cherokee,AL_Cherokee,124,2020-01-09,AL,-0.008000000000000007
Cherokee,AL_Cherokee,130,2020-01-10,AL,0.04838709677419351
Cherokee,AL_Cherokee,133,2020-01-11,AL,0.023076923076923
Cherokee,AL_Cherokee,134,2020-01-12,AL,0.007518796992481258
Cherokee,AL_Cherokee,136,2020-01-13,AL,0.0149253731343284
Cherokee,AL_Cherokee,136,2020-01-14,AL,0.0
Cherokee,AL_Cherokee,138,2020-01-15,AL,0.014705882352941124
Cherokee,AL_Cherokee,142,2020-01-16,AL,0.02898550724637672
Cherokee,AL_Cherokee,135,2020-01-17,AL,-0.04929577464788737
Cherokee,AL_Cherokee,126,2020-01-18,AL,-0.06666666666666665
Cherokee,AL_Cherokee,124,2020-01-19,AL,-0.015873015873015928
Cherokee,AL_Cherokee,124,2020-01-20,AL,0.0
Cherokee,AL_Cherokee,126,2020-01-21,AL,0.016129032258064502
Cherokee,AL_Cherokee,124,2020-01-22,AL,-0.015873015873015928
Cherokee,AL_Cherokee,123,2020-01-23,AL,-0.008064516129032251
Cherokee,AL_Cherokee,123,2020-01-24,AL,0.0
Cherokee,AL_Cherokee,127,2020-01-25,AL,0.03252032520325199
Cherokee,AL_Cherokee,120,2020-01-26,AL,-0.055118110236220486
Cherokee,AL_Cherokee,121,2020-01-27,AL,0.008333333333333305
Cherokee,AL_Cherokee,122,2020-01-28,AL,0.008264462809917328
Cherokee,AL_Cherokee,125,2020-01-29,AL,0.024590163934426142
Cherokee,AL_Cherokee,125,2020-01-30,AL,0.0
Cherokee,AL_Cherokee,121,2020-01-31,AL,-0.03200000000000003
Cherokee,AL_Cherokee,125,2020-02-01,AL,0.03305785123966931
Cherokee,AL_Cherokee,123,2020-02-02,AL,-0.016000000000000014
Cherokee,AL_Cherokee,122,2020-02-03,AL,-0.008130081300813052
Cherokee,AL_Cherokee,110,2020-02-04,AL,-0.09836065573770493
Cherokee,AL_Cherokee,113,2020-02-05,AL,0.027272727272727337
Cherokee,AL_Cherokee,115,2020-02-06,AL,0.017699115044247815
Cherokee,AL_Cherokee,114,2020-02-07,AL,-0.008695652173912993
Cherokee,AL_Cherokee,118,2020-02-08,AL,0.035087719298245716
Cherokee,AL_Cherokee,117,2020-02-11,AL,-0.008474576271186418
Cherokee,AL_Cherokee,118,2020-02-12,AL,0.008547008547008517
Cherokee,AL_Cherokee,121,2020-02-13,AL,0.025423728813559254
Cherokee,AL_Cherokee,116,2020-02-14,AL,-0.04132231404958675
Cherokee,AL_Cherokee,119,2020-02-15,AL,0.02586206896551735
Cherokee,AL_Cherokee,117,2020-02-16,AL,-0.01680672268907568
Cherokee,AL_Cherokee,120,2020-02-17,AL,0.02564102564102555
Cherokee,AL_Cherokee,123,2020-02-18,AL,0.024999999999999908
Cherokee,AL_Cherokee,122,2020-02-19,AL,-0.008130081300813052
Cherokee,AL_Cherokee,125,2020-02-20,AL,0.024590163934426142
Cherokee,AL_Cherokee,122,2020-02-21,AL,-0.024000000000000018
Cherokee,AL_Cherokee,122,2020-02-22,AL,0.0
Cherokee,AL_Cherokee,125,2020-02-23,AL,0.024590163934426142
Cherokee,AL_Cherokee,124,2020-02-24,AL,-0.008000000000000007
Cherokee,AL_Cherokee,120,2020-02-25,AL,-0.032258064516129004
Cherokee,AL_Cherokee,117,2020-02-26,AL,-0.025000000000000026
Cherokee,AL_Cherokee,117,2020-02-27,AL,0.0
Cherokee,AL_Cherokee,109,2020-02-28,AL,-0.06837606837606837
Cherokee,AL_Cherokee,106,2020-03-04,AL,-0.02752293577981646
Cherokee,AL_Cherokee,106,2020-03-05,AL,0.0
Cherokee,AL_Cherokee,109,2020-03-06,AL,0.02830188679245293
Cherokee,AL_Cherokee,111,2020-03-07,AL,0.0183486238532109
Cherokee,AL_Cherokee,113,2020-03-08,AL,0.018018018018018056
Cherokee,AL_Cherokee,113,2020-03-09,AL,0.0
Cherokee,AL_Cherokee,110,2020-03-10,AL,-0.026548672566371726
Cherokee,AL_Cherokee,115,2020-03-11,AL,0.04545454545454541
Cherokee,AL_Cherokee,121,2020-03-12,AL,0.05217391304347818
Cherokee,AL_Cherokee,122,2020-03-13,AL,0.008264462809917328
Cherokee,AL_Cherokee,123,2020-03-15,AL,0.008196721311475308
Cherokee,AL_Cherokee,123,2020-03-16,AL,0.0
Cherokee,AL_Cherokee,118,2020-03-17,AL,-0.04065040650406504
Cherokee,AL_Cherokee,115,2020-03-18,AL,-0.025423728813559362
Cherokee,AL_Cherokee,103,2020-03-19,AL,-0.10434782608695647
Cherokee,AL_Cherokee,101,2020-03-20,AL,-0.01941747572815533
Cherokee,AL_Cherokee,100,2020-03-21,AL,-0.00990099009900991
Cherokee,AL_Cherokee,101,2020-03-22,AL,0.010000000000000007
Cherokee,AL_Cherokee,102,2020-03-23,AL,0.00990099009900991
Cherokee,AL_Cherokee,98,2020-03-24,AL,-0.039215686274509776
Cherokee,AL_Cherokee,99,2020-03-25,AL,0.010204081632652963
Cherokee,AL_Cherokee,98,2020-03-26,AL,-0.010101010101010057
Cherokee,AL_Cherokee,95,2020-03-27,AL,-0.030612244897959218
Cherokee,AL_Cherokee,96,2020-03-28,AL,0.010526315789473715
Cherokee,AL_Cherokee,94,2020-03-29,AL,-0.02083333333333337
Cherokee,AL_Cherokee,93,2020-03-30,AL,-0.010638297872340384
Chilton,AL_Chilton,237,2020-01-23,AL,
Chilton,AL_Chilton,236,2020-01-24,AL,-0.00421940928270037
Chilton,AL_Chilton,245,2020-01-25,AL,0.03813559322033888
Chilton,AL_Chilton,246,2020-01-26,AL,0.0040816326530612726
Chilton,AL_Chilton,244,2020-01-27,AL,-0.008130081300813052
Chilton,AL_Chilton,245,2020-01-28,AL,0.004098360655737654
Chilton,AL_Chilton,239,2020-01-29,AL,-0.02448979591836731
Chilton,AL_Chilton,234,2020-01-31,AL,-0.02092050209205021
Chilton,AL_Chilton,233,2020-02-01,AL,-0.0042735042735042575
Chilton,AL_Chilton,238,2020-02-02,AL,0.02145922746781115
Chilton,AL_Chilton,236,2020-02-03,AL,-0.008403361344537784
Chilton,AL_Chilton,233,2020-02-04,AL,-0.012711864406779629
Chilton,AL_Chilton,222,2020-02-05,AL,-0.0472103004291845
Chilton,AL_Chilton,227,2020-02-11,AL,0.022522522522522515
Chilton,AL_Chilton,210,2020-02-12,AL,-0.07488986784140972
Chilton,AL_Chilton,196,2020-02-13,AL,-0.06666666666666665
Chilton,AL_Chilton,204,2020-02-14,AL,0.04081632653061229
Chilton,AL_Chilton,204,2020-02-16,AL,0.0
Chilton,AL_Chilton,211,2020-02-17,AL,0.03431372549019618
Chilton,AL_Chilton,216,2020-02-18,AL,0.023696682464454888
Chilton,AL_Chilton,207,2020-02-19,AL,-0.04166666666666663
Chilton,AL_Chilton,216,2020-02-20,AL,0.04347826086956519
Chilton,AL_Chilton,216,2020-02-21,AL,0.0
Chilton,AL_Chilton,212,2020-02-22,AL,-0.01851851851851849
Chilton,AL_Chilton,213,2020-02-23,AL,0.004716981132075526
Chilton,AL_Chilton,215,2020-02-24,AL,0.00938967136150226
Chilton,AL_Chilton,213,2020-02-25,AL,-0.009302325581395321
Chilton,AL_Chilton,213,2020-02-26,AL,0.0
Chilton,AL_Chilton,214,2020-02-27,AL,0.004694835680751242
Chilton,AL_Chilton,202,2020-02-28,AL,-0.056074766355140186
Chilton,AL_Chilton,203,2020-02-29,AL,0.004950495049504955
Chilton,AL_Chilton,202,2020-03-01,AL,-0.00492610837438423
Chilton,AL_Chilton,205,2020-03-02,AL,0.014851485148514863
Chilton,AL_Chilton,200,2020-03-03,AL,-0.024390243902439046
Chilton,AL_Chilton,199,2020-03-04,AL,-0.0050000000000000044
Chilton,AL_Chilton,203,2020-03-05,AL,0.0201005025125629
Chilton,AL_Chilton,216,2020-03-06,AL,0.0640394088669951
Chilton,AL_Chilton,210,2020-03-07,AL,-0.02777777777777779
Chilton,AL_Chilton,213,2020-03-08,AL,0.014285714285714237
Chilton,AL_Chilton,207,2020-03-09,AL,-0.028169014084507005
Chilton,AL_Chilton,210,2020-03-10,AL,0.014492753623188468
Chilton,AL_Chilton,208,2020-03-11,AL,-0.00952380952380949
Chilton,AL_Chilton,195,2020-03-12,AL,-0.0625
Chilton,AL_Chilton,201,2020-03-13,AL,0.030769230769230663
Chilton,AL_Chilton,213,2020-03-14,AL,0.059701492537313376
Chilton,AL_Chilton,208,2020-03-15,AL,-0.023474178403755874
Chilton,AL_Chilton,207,2020-03-16,AL,-0.004807692307692291
Chilton,AL_Chilton,195,2020-03-17,AL,-0.057971014492753666
Chilton,AL_Chilton,197,2020-03-18,AL,0.01025641025641022
Chilton,AL_Chilton,190,2020-03-19,AL,-0.035532994923857864
Chilton,AL_Chilton,190,2020-03-20,AL,0.0
Chilton,AL_Chilton,174,2020-03-21,AL,-0.08421052631578951
Chilton,AL_Chilton,177,2020-03-22,AL,0.01724137931034475
Chilton,AL_Chilton,179,2020-03-23,AL,0.011299435028248485
Chilton,AL_Chilton,160,2020-03-24,AL,-0.1061452513966481
Chilton,AL_Chilton,160,2020-03-25,AL,0.0
Chilton,AL_Chilton,156,2020-03-26,AL,-0.025000000000000026
Chilton,AL_Chilton,155,2020-03-27,AL,-0.006410256410256388
Chilton,AL_Chilton,155,2020-03-28,AL,0.0
Chilton,AL_Chilton,156,2020-03-29,AL,0.006451612903225712
Chilton,AL_Chilton,153,2020-03-30,AL,-0.019230769230769273
Clay,AL_Clay,34,2020-03-05,AL,
Clay,AL_Clay,33,2020-03-06,AL,-0.029411764705882363
Clay,AL_Clay,36,2020-03-07,AL,0.09090909090909084
Clay,AL_Clay,36,2020-03-08,AL,0.0
Clay,AL_Clay,36,2020-03-09,AL,0.0
Clay,AL_Clay,38,2020-03-10,AL,0.05555555555555558
Clay,AL_Clay,38,2020-03-11,AL,0.0
Clay,AL_Clay,39,2020-03-12,AL,0.02631578947368429
Clay,AL_Clay,42,2020-03-13,AL,0.07692307692307687
Clay,AL_Clay,43,2020-03-15,AL,0.023809523809523725
Clay,AL_Clay,42,2020-03-16,AL,-0.023255813953488413
Clay,AL_Clay,43,2020-03-17,AL,0.023809523809523725
Clay,AL_Clay,41,2020-03-18,AL,-0.046511627906976716
Clay,AL_Clay,34,2020-03-19,AL,-0.1707317073170732
Clay,AL_Clay,33,2020-03-20,AL,-0.029411764705882363
Clay,AL_Clay,33,2020-03-21,AL,0.0
Clay,AL_Clay,33,2020-03-22,AL,0.0
Clay,AL_Clay,32,2020-03-23,AL,-0.03030303030303028
Clay,AL_Clay,32,2020-03-24,AL,0.0
Clay,AL_Clay,30,2020-03-25,AL,-0.0625
Clay,AL_Clay,30,2020-03-26,AL,0.0
Clay,AL_Clay,30,2020-03-27,AL,0.0
Clay,AL_Clay,29,2020-03-28,AL,-0.033333333333333326
Clay,AL_Clay,29,2020-03-29,AL,0.0
Clay,AL_Clay,29,2020-03-30,AL,0.0
Cleburne,AL_Cleburne,81,2020-01-02,AL,
Cleburne,AL_Cleburne,83,2020-01-03,AL,0.024691358024691468
Cleburne,AL_Cleburne,82,2020-01-04,AL,-0.012048192771084376
Cleburne,AL_Cleburne,83,2020-01-05,AL,0.012195121951219523
Cleburne,AL_Cleburne,87,2020-01-06,AL,0.04819277108433728
Cleburne,AL_Cleburne,85,2020-01-07,AL,-0.02298850574712641
Cleburne,AL_Cleburne,83,2020-01-08,AL,-0.02352941176470591
Cleburne,AL_Cleburne,81,2020-01-09,AL,-0.02409638554216864
Cleburne,AL_Cleburne,81,2020-01-10,AL,0.0
Cleburne,AL_Cleburne,84,2020-01-11,AL,0.03703703703703698
Cleburne,AL_Cleburne,82,2020-01-12,AL,-0.02380952380952384
Cleburne,AL_Cleburne,82,2020-01-13,AL,0.0
Cleburne,AL_Cleburne,80,2020-01-14,AL,-0.024390243902439046
Cleburne,AL_Cleburne,76,2020-01-15,AL,-0.05000000000000005
Cleburne,AL_Cleburne,76,2020-01-16,AL,0.0
Cleburne,AL_Cleburne,73,2020-01-17,AL,-0.039473684210526334
Cleburne,AL_Cleburne,77,2020-01-18,AL,0.0547945205479452
Cleburne,AL_Cleburne,80,2020-01-19,AL,0.03896103896103886
Cleburne,AL_Cleburne,78,2020-01-20,AL,-0.025000000000000026
Cleburne,AL_Cleburne,76,2020-01-21,AL,-0.02564102564102566
