2020-09-03 10:52:04

Population = 0:
Empty DataFrame
Columns: [Scrape_Date, Facility_Identifier, Population, Change]
Index: []


Drastic Change:
Scrape_Date      Facility_Identifier  Population      Change
 2020-06-09              WA_Thurston         251   -0.317935
 2020-06-08             AR_Craighead         175   -0.449686
 2020-06-08                ID_Cassia         136   -0.240223
 2020-06-08                 OK_Grady         144    0.125000
 2020-06-06               LA_Lincoln         221    0.389937
 2020-06-06             MA_Worcester         455   -0.139887
 2020-06-06                 OH_Lucas         110    0.100000
 2020-06-06                 TN_Giles         122    0.129630
 2020-06-05             KS_Wyandotte         349         inf
 2020-06-05               LA_Lincoln         159   -0.277273
 2020-06-05                  UT_Iron         119   10.900000
 2020-06-04             NC_Brunswick         198   -0.188525
 2020-06-04                TN_Monroe         164   -0.127660
 2020-06-04                 TX_Cooke         141   -0.101911
 2020-06-04                 UT_Davis         269   -0.556837
 2020-06-03             CA_Mendocino         160         inf
 2020-06-03              FL_Suwannee         134   -0.167702
 2020-06-03              MN_St_Louis         130    0.101695
 2020-06-03                 NE_Sarpy         110   -0.160305
 2020-06-03             NV_Las_Vegas         249   -0.113879
 2020-06-03                 OH_Lucas         101    0.629032
 2020-06-03                OH_Summit         338   -0.128866
 2020-06-02                 IA_Scott         293    0.105660
 2020-06-01             NV_Las_Vegas         286   -0.173410
 2020-05-31              MD_St_Marys         161   -0.281250
 2020-05-31                MN_Dakota         126    0.774648
 2020-05-31         MN_Hennepin_Jail         519    0.155902
 2020-05-31             NV_Las_Vegas         346    0.295880
 2020-05-30                   NM_Lea         130   -0.103448
 2020-05-30               OH_Belmont         107   -0.108333
 2020-05-30                 OK_Grady         128   -0.111111
 2020-05-30                WI_Racine         509    0.118681
 2020-05-29              SC_Berkeley         299    0.150000
 2020-05-29               TX_Hopkins         176    0.135484
 2020-05-29                WI_Racine         455   -0.113060
 2020-05-28                 OK_Grady         144    0.125000
 2020-05-28              SC_Berkeley         260   -0.130435
 2020-05-27             KS_Wyandotte         343   -0.254348
 2020-05-27               LA_St_John         141    0.110236
 2020-05-27             LA_St_Martin         171   -0.173913
 2020-05-27                MO_Jasper         147    0.176000
 2020-05-27             NV_Las_Vegas         294   -0.106383
 2020-05-27                 OK_Grady         128   -0.111111
 2020-05-27             TX_Van_Zandt         105   -0.198473
 2020-05-27               WA_Cowlitz         109   -0.148438
 2020-05-27              WA_Franklin         181    0.145570
