County,Population,Scrape_Date,State,Facility_Identifier
Coffee,139,2020-01-17,AL,AL_Coffee
Coffee,144,2020-01-18,AL,AL_Coffee
Coffee,147,2020-01-19,AL,AL_Coffee
Coffee,156,2020-01-20,AL,AL_Coffee
Coffee,147,2020-01-21,AL,AL_Coffee
Coffee,144,2020-01-22,AL,AL_Coffee
Coffee,144,2020-01-23,AL,AL_Coffee
Coffee,146,2020-01-24,AL,AL_Coffee
Coffee,146,2020-01-25,AL,AL_Coffee
Coffee,142,2020-01-26,AL,AL_Coffee
Coffee,140,2020-01-27,AL,AL_Coffee
Coffee,136,2020-01-28,AL,AL_Coffee
Coffee,135,2020-01-29,AL,AL_Coffee
Coffee,129,2020-01-30,AL,AL_Coffee
Coffee,129,2020-01-31,AL,AL_Coffee
Coffee,125,2020-02-01,AL,AL_Coffee
Coffee,128,2020-02-02,AL,AL_Coffee
Coffee,130,2020-02-03,AL,AL_Coffee
Coffee,128,2020-02-04,AL,AL_Coffee
Coffee,132,2020-02-05,AL,AL_Coffee
Coffee,133,2020-02-06,AL,AL_Coffee
Coffee,130,2020-02-07,AL,AL_Coffee
Coffee,135,2020-02-08,AL,AL_Coffee
Coffee,133,2020-02-11,AL,AL_Coffee
Coffee,129,2020-02-12,AL,AL_Coffee
Coffee,135,2020-02-13,AL,AL_Coffee
Coffee,137,2020-02-14,AL,AL_Coffee
Coffee,143,2020-02-15,AL,AL_Coffee
Coffee,141,2020-02-16,AL,AL_Coffee
Coffee,138,2020-02-17,AL,AL_Coffee
Coffee,140,2020-02-18,AL,AL_Coffee
Coffee,142,2020-02-19,AL,AL_Coffee
Coffee,139,2020-02-20,AL,AL_Coffee
Coffee,131,2020-02-21,AL,AL_Coffee
Coffee,131,2020-02-22,AL,AL_Coffee
Coffee,134,2020-02-23,AL,AL_Coffee
Coffee,135,2020-02-24,AL,AL_Coffee
Coffee,133,2020-02-25,AL,AL_Coffee
Coffee,128,2020-02-26,AL,AL_Coffee
Coffee,129,2020-02-27,AL,AL_Coffee
Coffee,133,2020-02-28,AL,AL_Coffee
Coffee,126,2020-03-04,AL,AL_Coffee
Coffee,124,2020-03-05,AL,AL_Coffee
Coffee,129,2020-03-06,AL,AL_Coffee
Coffee,131,2020-03-07,AL,AL_Coffee
Coffee,135,2020-03-08,AL,AL_Coffee
Coffee,136,2020-03-09,AL,AL_Coffee
Coffee,127,2020-03-10,AL,AL_Coffee
Coffee,131,2020-03-11,AL,AL_Coffee
Coffee,132,2020-03-12,AL,AL_Coffee
Coffee,131,2020-03-13,AL,AL_Coffee
Coffee,130,2020-03-14,AL,AL_Coffee
Coffee,131,2020-03-15,AL,AL_Coffee
Colbert,19,2020-01-01,AL,AL_Colbert
Colbert,19,2020-01-02,AL,AL_Colbert
Colbert,19,2020-01-03,AL,AL_Colbert
Colbert,19,2020-01-04,AL,AL_Colbert
Colbert,19,2020-01-05,AL,AL_Colbert
Colbert,19,2020-01-06,AL,AL_Colbert
Colbert,19,2020-01-07,AL,AL_Colbert
Colbert,19,2020-01-08,AL,AL_Colbert
Colbert,19,2020-01-09,AL,AL_Colbert
Colbert,19,2020-01-10,AL,AL_Colbert
Colbert,19,2020-01-11,AL,AL_Colbert
Colbert,19,2020-01-12,AL,AL_Colbert
Colbert,19,2020-01-13,AL,AL_Colbert
Colbert,19,2020-01-14,AL,AL_Colbert
Colbert,19,2020-01-15,AL,AL_Colbert
Colbert,19,2020-01-16,AL,AL_Colbert
Colbert,19,2020-01-17,AL,AL_Colbert
Colbert,19,2020-01-18,AL,AL_Colbert
Colbert,19,2020-01-19,AL,AL_Colbert
Colbert,19,2020-01-20,AL,AL_Colbert
Colbert,19,2020-01-21,AL,AL_Colbert
Colbert,19,2020-01-22,AL,AL_Colbert
Colbert,19,2020-01-23,AL,AL_Colbert
Colbert,19,2020-01-24,AL,AL_Colbert
Colbert,19,2020-01-25,AL,AL_Colbert
Colbert,19,2020-01-26,AL,AL_Colbert
Colbert,19,2020-01-27,AL,AL_Colbert
Colbert,19,2020-01-28,AL,AL_Colbert
Colbert,19,2020-01-29,AL,AL_Colbert
Colbert,19,2020-01-30,AL,AL_Colbert
Colbert,19,2020-01-31,AL,AL_Colbert
Colbert,19,2020-02-01,AL,AL_Colbert
Colbert,19,2020-02-02,AL,AL_Colbert
Colbert,19,2020-02-03,AL,AL_Colbert
Colbert,19,2020-02-04,AL,AL_Colbert
Colbert,19,2020-02-05,AL,AL_Colbert
Colbert,19,2020-02-06,AL,AL_Colbert
Colbert,19,2020-02-07,AL,AL_Colbert
Colbert,19,2020-02-08,AL,AL_Colbert
Colbert,19,2020-02-09,AL,AL_Colbert
Colbert,19,2020-02-11,AL,AL_Colbert
Colbert,19,2020-02-12,AL,AL_Colbert
Colbert,19,2020-02-13,AL,AL_Colbert
Colbert,19,2020-02-14,AL,AL_Colbert
Colbert,19,2020-02-15,AL,AL_Colbert
Colbert,19,2020-02-16,AL,AL_Colbert
Colbert,19,2020-02-17,AL,AL_Colbert
Colbert,19,2020-02-18,AL,AL_Colbert
Colbert,19,2020-02-19,AL,AL_Colbert
Colbert,19,2020-02-20,AL,AL_Colbert
Colbert,19,2020-02-21,AL,AL_Colbert
Colbert,19,2020-02-22,AL,AL_Colbert
Colbert,19,2020-02-23,AL,AL_Colbert
Colbert,19,2020-02-24,AL,AL_Colbert
Colbert,19,2020-02-25,AL,AL_Colbert
Colbert,19,2020-02-26,AL,AL_Colbert
Colbert,19,2020-02-27,AL,AL_Colbert
Colbert,19,2020-02-28,AL,AL_Colbert
Colbert,19,2020-03-04,AL,AL_Colbert
Colbert,19,2020-03-05,AL,AL_Colbert
Colbert,19,2020-03-06,AL,AL_Colbert
Colbert,19,2020-03-07,AL,AL_Colbert
Colbert,19,2020-03-08,AL,AL_Colbert
Colbert,19,2020-03-09,AL,AL_Colbert
Colbert,19,2020-03-10,AL,AL_Colbert
Colbert,19,2020-03-11,AL,AL_Colbert
Colbert,19,2020-03-12,AL,AL_Colbert
Colbert,19,2020-03-13,AL,AL_Colbert
Colbert,19,2020-03-14,AL,AL_Colbert
Coosa,17,2020-01-23,AL,AL_Coosa
Coosa,16,2020-01-24,AL,AL_Coosa
Coosa,17,2020-01-25,AL,AL_Coosa
Coosa,16,2020-01-26,AL,AL_Coosa
Coosa,16,2020-01-27,AL,AL_Coosa
Coosa,15,2020-01-28,AL,AL_Coosa
Coosa,16,2020-01-29,AL,AL_Coosa
Coosa,17,2020-01-30,AL,AL_Coosa
Coosa,18,2020-01-31,AL,AL_Coosa
Coosa,21,2020-02-03,AL,AL_Coosa
Coosa,22,2020-02-04,AL,AL_Coosa
Coosa,23,2020-02-05,AL,AL_Coosa
Coosa,20,2020-02-11,AL,AL_Coosa
Coosa,22,2020-02-12,AL,AL_Coosa
Coosa,21,2020-02-13,AL,AL_Coosa
Coosa,21,2020-02-14,AL,AL_Coosa
Coosa,23,2020-02-16,AL,AL_Coosa
Coosa,22,2020-02-17,AL,AL_Coosa
Coosa,20,2020-02-18,AL,AL_Coosa
Coosa,20,2020-02-19,AL,AL_Coosa
Coosa,21,2020-02-20,AL,AL_Coosa
Coosa,19,2020-02-21,AL,AL_Coosa
Coosa,19,2020-02-22,AL,AL_Coosa
Coosa,22,2020-02-23,AL,AL_Coosa
Coosa,22,2020-02-24,AL,AL_Coosa
Coosa,22,2020-02-25,AL,AL_Coosa
Coosa,20,2020-02-26,AL,AL_Coosa
Coosa,21,2020-02-27,AL,AL_Coosa
Coosa,20,2020-02-28,AL,AL_Coosa
Coosa,23,2020-02-29,AL,AL_Coosa
Coosa,22,2020-03-01,AL,AL_Coosa
Coosa,22,2020-03-02,AL,AL_Coosa
Coosa,22,2020-03-03,AL,AL_Coosa
Coosa,22,2020-03-04,AL,AL_Coosa
Coosa,22,2020-03-05,AL,AL_Coosa
Coosa,23,2020-03-06,AL,AL_Coosa
Coosa,26,2020-03-07,AL,AL_Coosa
Coosa,26,2020-03-08,AL,AL_Coosa
Coosa,25,2020-03-09,AL,AL_Coosa
Coosa,27,2020-03-10,AL,AL_Coosa
Coosa,27,2020-03-11,AL,AL_Coosa
Coosa,25,2020-03-12,AL,AL_Coosa
Coosa,26,2020-03-13,AL,AL_Coosa
Coosa,30,2020-03-14,AL,AL_Coosa
Coosa,29,2020-03-15,AL,AL_Coosa
Dale,67,2020-01-01,AL,AL_Dale
Dale,65,2020-01-02,AL,AL_Dale
Dale,67,2020-01-03,AL,AL_Dale
Dale,63,2020-01-04,AL,AL_Dale
Dale,68,2020-01-05,AL,AL_Dale
Dale,63,2020-01-06,AL,AL_Dale
Dale,68,2020-01-07,AL,AL_Dale
Dale,67,2020-01-08,AL,AL_Dale
Dale,67,2020-01-09,AL,AL_Dale
Dale,69,2020-01-10,AL,AL_Dale
Dale,65,2020-01-11,AL,AL_Dale
Dale,66,2020-01-12,AL,AL_Dale
Dale,65,2020-01-13,AL,AL_Dale
Dale,68,2020-01-14,AL,AL_Dale
Dale,66,2020-01-15,AL,AL_Dale
Dale,66,2020-01-16,AL,AL_Dale
Dale,67,2020-01-17,AL,AL_Dale
Dale,68,2020-01-18,AL,AL_Dale
Dale,74,2020-01-19,AL,AL_Dale
Dale,76,2020-01-20,AL,AL_Dale
Dale,78,2020-01-21,AL,AL_Dale
Dale,75,2020-01-22,AL,AL_Dale
Dale,75,2020-01-23,AL,AL_Dale
Dale,74,2020-01-24,AL,AL_Dale
Dale,77,2020-01-25,AL,AL_Dale
