State,County,Facility_Name,Facility_Identifier,Scrape_Date,Race,Race_Population,Race_Change,Race_Proportion,Total_Population,Total_Change
AL,Pike,Pike Co. Jail,AL_Pike,3/16/20,other,2,,0.034482759,58,
AL,Pike,Pike Co. Jail,AL_Pike,3/16/20,white,21,,0.362068966,58,
AL,Pike,Pike Co. Jail,AL_Pike,4/12/20,black,22,-0.371428571,0.594594595,37,-0.362068966
AL,Pike,Pike Co. Jail,AL_Pike,4/12/20,hispanic,0,,0,37,-0.362068966
AL,Pike,Pike Co. Jail,AL_Pike,4/12/20,other,2,0,0.054054054,37,-0.362068966
AL,Pike,Pike Co. Jail,AL_Pike,4/12/20,white,13,-0.380952381,0.351351351,37,-0.362068966
AL,Randolph,Randolph Co. Jail,AL_Randolph,3/16/20,black,15,,0.234375,64,
AL,Randolph,Randolph Co. Jail,AL_Randolph,3/16/20,hispanic,0,,0,64,
AL,Randolph,Randolph Co. Jail,AL_Randolph,3/16/20,other,1,,0.015625,64,
AL,Randolph,Randolph Co. Jail,AL_Randolph,3/16/20,white,48,,0.75,64,
AL,Randolph,Randolph Co. Jail,AL_Randolph,4/12/20,black,13,-0.133333333,0.254901961,51,-0.203125
AL,Randolph,Randolph Co. Jail,AL_Randolph,4/12/20,hispanic,0,,0,51,-0.203125
AL,Randolph,Randolph Co. Jail,AL_Randolph,4/12/20,other,1,0,0.019607843,51,-0.203125
AL,Randolph,Randolph Co. Jail,AL_Randolph,4/12/20,white,37,-0.229166667,0.725490196,51,-0.203125
AL,St_Clair,St. Clair Co. Jail - Ashville & Pell City,AL_St_Clair,3/16/20,black,36,,0.164383562,219,
AL,St_Clair,St. Clair Co. Jail - Ashville & Pell City,AL_St_Clair,3/16/20,hispanic,2,,0.00913242,219,
AL,St_Clair,St. Clair Co. Jail - Ashville & Pell City,AL_St_Clair,3/16/20,other,1,,0.00456621,219,
AL,St_Clair,St. Clair Co. Jail - Ashville & Pell City,AL_St_Clair,3/16/20,white,180,,0.821917808,219,
AL,St_Clair,St. Clair Co. Jail - Ashville & Pell City,AL_St_Clair,4/12/20,black,35,-0.027777778,0.189189189,185,-0.155251142
AL,St_Clair,St. Clair Co. Jail - Ashville & Pell City,AL_St_Clair,4/12/20,hispanic,2,0,0.010810811,185,-0.155251142
